NAME SCORE
Anuj 4
Sunny_Singh 2
Shubham_Baranwal 3
Naval_Verma 7
Verma 8
Komal_Singh 9
Sidhu 20
Mansi_Singh 7
Ayush_Singh 4
Sophie_Lara 11
awsedr 5
qawserdr 5
sagar 0
vivek 0
gyani 5
cfhmuxk 0
tyuiop 5
pratham 5
awsedrjh 0
kijnhuiu 5
you 5
jnkm 5
etvtce 3
tghytujk 5
mnbvcxfghjkoiugf 3
sagarl 5
kjbdavkbsnj 3
a 0
a 3
aaa 0
aaa 0
aaa 0
a 0
aaa 0
aaa 0
aaa 50
aaa 0
sefilihkgkudgcjt 0
SIDDHARTH 30
aaa 0
aaa 0
